0;#;FORM;LEMMA;GRAM;FEAT;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;AUTO_FEAT;RIGHT_Lemma
38695;;;;;_;;;;;;;;;;;;;;
38696;</speech>;;;;_;;;;;;;;;;;;;;
38697;;;;;_;;;;;;;;;;;;;;
38698;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38699;;Огромный;огромный;A;nom,sg,plen,m;;;   Огромный же . ;й;ы;н;м;о;р;;огромный;A;_;й
38700;;же;же;PART;_;;;  Огромный же .  ;е;ж;;;;;;же;PART;_;е
38701;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38702;;;;;_;;;;;;;;;;;;;;
38703;</speech>;;;;_;;;;;;;;;;;;;;
38704;;;;;_;;;;;;;;;;;;;;
38705;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38706;;Видите;видеть;V;ipf,tran=praes,pl,indic,2p;;;   Видите ,  это как;е;т;и;д;и;В;;видеть;V;_;ь
38707;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38708;;это;это;SPRO;_;;; Видите ,  это как будто пес;о;т;э;;;;;это;SPRO;_;о
38709;;как;как;ADVPRO;_;;;Видите ,  это как будто пес , ;к;а;к;;;;;как;ADVPRO;_;к
38710;;будто;будто;CONJ;_;;;,  это как будто пес ,  но;о;т;д;у;б;;;будто;CONJ;_;о
38711;;пес;пес;S;m,anim=nom,sg;;;это как будто пес ,  но у;с;е;п;;;;;пес;S;_;с
38712;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38713;;но;но;CONJ;_;;;будто пес ,  но у него есь;о;н;;;;;;но;CONJ;_;о
38714;;у;у;PR;_;;;пес ,  но у него есь рога;у;;;;;;;у;PR;_;у
38715;;него;он;SPRO;sg,3p,m=gen;;;,  но у него есь рога . ;о;г;е;н;;;;он;SPRO;_;н
38716;"<distinct form=""есь""></distinct>";;;;;;;;;;;;;;;;;;
38716;;есть;быть;V;intr=praes,pl,indic,3p,ipf;;;но у него есь рога .  ;ь;с;е;;;;;есь;S;_;ь
38717;;рога;рог;S;m,inan=nom,pl;;;у него есь рога .   ;а;г;о;р;;;;рог;S;_;г
38718;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38719;;;;;_;;;;;;;;;;;;;;
38720;</speech>;;;;_;;;;;;;;;;;;;;
38721;;;;;_;;;;;;;;;;;;;;
38722;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38723;;А;а;CONJ;_;;;   А еще из хвоста;А;;;;;;;а;CONJ;_;а
38724;;еще;еще;ADV;_;;;  А еще из хвоста ..;е;щ;е;;;;;еще;ADV;_;е
38725;;из;из;PR;_;;; А еще из хвоста .. ;з;и;;;;;;из;PR;_;з
38726;;хвоста;хвост;S;m,inan=gen,sg;;;А еще из хвоста ..  ;а;т;с;о;в;х;;хвост;S;_;т
38727;;..;..;PUNCT;_;;;;;;;;;;;..;PUNCT;_;
38728;;;;;_;;;;;;;;;;;;;;
38729;</speech>;;;;_;;;;;;;;;;;;;;
38730;;;;;_;;;;;;;;;;;;;;
38731;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38732;;И;и;CONJ;_;;;   И у него не;И;;;;;;;и;CONJ;_;и
38733;;у;у;PR;_;;;  И у него не шерсть;у;;;;;;;у;PR;_;у
38734;;него;он;SPRO;sg,3p,m=gen;;; И у него не шерсть , ;о;г;е;н;;;;он;SPRO;_;н
38735;;не;не;PART;_;;;И у него не шерсть ,  у;е;н;;;;;;не;PART;_;е
38736;;шерсть;шерсть;S;f,inan=nom,sg;;;у него не шерсть ,  у него;ь;т;с;р;е;ш;;шерсть;S;_;ь
38737;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38738;;у;у;PR;_;;;не шерсть ,  у него  как;у;;;;;;;у;PR;_;у
38739;;него;он;SPRO;sg,3p,m=gen;;;шерсть ,  у него  как ... ;о;г;е;н;;;;он;SPRO;_;н
38740;"<distinct form=""к""></distinct>";;;;_;;;;;;;;;;;;;;
38741;;как;как;CONJ;_;;;у него  как ...  это , ;к;а;к;;;;;как;CONJ;_;к
38742;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
38743;;это;это;PART;_;;; как ...  это ,  перья .;о;т;э;;;;;это;PART;_;о
38744;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38745;;перья;перо;S;n,inan=nom,pl;;;...  это ,  перья .  ;я;ь;р;е;п;;;перо;S;_;о
38746;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38747;;;;;_;;;;;;;;;;;;;;
38748;</speech>;;;;_;;;;;;;;;;;;;;
38749;;;;;_;;;;;;;;;;;;;;
38750;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38751;;Видала;видать;V;ipf,tran=praet,sg,indic,f;;;   Видала ?   ;а;л;а;д;и;В;;видать;V;_;ь
38752;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
38753;;;;;;;;;;;;;;;;;;;
38754;# sent_id = 5;;;;_;;;;;;;;;;;;;;
38755;;Из;из;PR;_;;;?    Из хвоста молния шлендает;з;И;;;;;;из;PR;_;з
38756;;хвоста;хвост;S;m,inan=gen,sg;;;  Из хвоста молния шлендает .;а;т;с;о;в;х;;хвост;S;_;т
38757;;молния;молния;S;f,inan=nom,sg;;; Из хвоста молния шлендает . ;я;и;н;л;о;м;;молния;S;_;я
38758;;шлендает;шлендать;V;ipf,intr=praes,sg,indic,3p;;;Из хвоста молния шлендает .  ;т;е;а;д;н;е;;шлендать;V;_;ь
38759;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38760;;;;;_;;;;;;;;;;;;;;
38761;</speech>;;;;_;;;;;;;;;;;;;;
38762;;;;;_;;;;;;;;;;;;;;
38763;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38764;;Молния;молния;S;f,inan=nom,sg;;;   Молния идет у него;я;и;н;л;о;М;;молния;S;_;я
38765;;идет;идти;V;ipf,intr=praes,sg,indic,3p;;;  Молния идет у него из;т;е;д;и;;;;идти;V;_;и
38766;;у;у;PR;_;;; Молния идет у него из хвоста;у;;;;;;;у;PR;_;у
38767;;него;он;SPRO;sg,3p,m=gen;;;Молния идет у него из хвоста . ;о;г;е;н;;;;он;SPRO;_;н
38768;;из;из;PR;_;;;идет у него из хвоста .  ;з;и;;;;;;из;PR;_;з
38769;;хвоста;хвост;S;m,inan=gen,sg;;;у него из хвоста .   ;а;т;с;о;в;х;;хвост;S;_;т
38770;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38771;;;;;;;;;;;;;;;;;;;
38772;# sent_id = 6;;;;_;;;;;;;;;;;;;;
38773;;И;и;CONJ;_;;;.    И еще у него;И;;;;;;;и;CONJ;_;и
38774;;еще;еще;ADV;_;;;;е;щ;е;;;;;еще;ADV;_;е
38775;;у;у;PR;_;;;#ССЫЛКА!;у;;;;;;;у;PR;_;у
38776;;него;он;SPRO;sg,3p,m=gen;;;#ССЫЛКА!;о;г;е;н;;;;он;SPRO;_;н
38777;"<distinct form=""ккие-то""></distinct>";;;;_;;;;;;;;;;;;;;
38778;;какие-то;какой-то;APRO;nom,pl;;;#ССЫЛКА!;о;т;-;е;и;к;;какой-то;APRO;_;о
38779;;призрачные;призрачный;A;nom,pl,plen;;;;е;ы;н;ч;а;р;;призрачный;A;_;й
38780;;глаза;глаз;S;m,inan=nom,pl;;; какие-то призрачные глаза ,  которые светятся;а;з;а;л;г;;;глаз;S;_;з
38781;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38782;;которые;который;APRO;nom,pl;;;призрачные глаза ,  которые светятся в темноте;е;ы;р;о;т;о;;который;APRO;_;й
38783;;светятся;светиться;V;ipf,intr=praes,pl,indic,3p;;;глаза ,  которые светятся в темноте . ;я;с;т;я;т;е;;светиться;V;_;я
38784;;в;в;PR;_;;;,  которые светятся в темноте .  ;в;;;;;;;в;PR;_;в
38785;;темноте;темнота;S;sg,f,inan=loc;;;которые светятся в темноте .   ;е;т;о;н;м;е;;темнота;S;_;а
38786;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38787;;;;;;;;;;;;;;;;;;;
38788;# sent_id = 7;;;;_;;;;;;;;;;;;;;
38789;;И;и;CONJ;_;;;.    И  когда ;И;;;;;;;и;CONJ;_;и
38790;"<distinct form=""када""></distinct>";;;;_;;;;;;;;;;;;;;
38791;;когда;когда;CONJ;_;;; И  когда  всё-таки он;а;д;г;о;к;;;когда;CONJ;_;а
38792;"<distinct form=""всё-тки""></distinct>";;;;_;;;;;;;;;;;;;;
38793;;всё-таки;все-таки;PART;_;;; когда  всё-таки он мородой повернется;и;к;а;т;-;ё;;все-таки;PART;_;и
38794;;он;он;SPRO;sg,3p,m=nom;;;когда  всё-таки он мородой повернется , ;н;о;;;;;;он;SPRO;_;н
38795;;мородой;морода;S;f,inan=ins,sg;;; всё-таки он мородой повернется ,  ни;й;о;д;о;р;о;;морода;S;_;а
38796;;повернется;повернуться;V;intr=fut,sg,indic,3p,pf;;;всё-таки он мородой повернется ,  ни фига;я;с;т;е;н;р;;повернуться;V;_;я
38797;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38798;;ни;ни;PART;_;;;мородой повернется ,  ни фига он не;и;н;;;;;;ни;PART;_;и
38799;;фига;фига;S;f,inan=nom,sg;;;повернется ,  ни фига он не как;а;г;и;ф;;;;фига;S;_;а
38800;;он;он;SPRO;sg,3p,m=nom;;;,  ни фига он не как собака;н;о;;;;;;он;SPRO;_;н
38801;;не;не;PART;_;;;ни фига он не как собака . ;е;н;;;;;;не;PART;_;е
38802;;как;как;CONJ;_;;;фига он не как собака .  ;к;а;к;;;;;как;CONJ;_;к
38803;;собака;собака;S;f,anim=nom,sg;;;он не как собака .   ;а;к;а;б;о;с;;собака;S;_;а
38804;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38805;;;;;;;;;;;;;;;;;;;
38806;# sent_id = 8;;;;_;;;;;;;;;;;;;;
38807;;Он;он;SPRO;sg,3p,m=nom;;;.    Он ..   ;н;О;;;;;;он;SPRO;_;н
38808;;.. ;.. ;PUNCT;_;;;;;;;;;;;.. ;PUNCT;_;
38809;;;;;;;;;;;;;;;;;;;
38810;# sent_id = 9;;;;_;;;;;;;;;;;;;;
38811;;У;у;PR;_;;;..    У него клюв или;У;;;;;;;у;PR;_;у
38812;;него;он;SPRO;sg,3p,m=gen;;;  У него клюв или что;о;г;е;н;;;;он;SPRO;_;н
38813;;клюв;клюв;S;m,inan=nom,sg;;; У него клюв или что ?;в;ю;л;к;;;;клюв;S;_;в
38814;;или;или;CONJ;_;;;У него клюв или что ? ;и;л;и;;;;;или;CONJ;_;и
38815;;что;что;SPRO;sg,n,inan=nom;;;него клюв или что ?  ;о;т;ч;;;;;что;SPRO;_;о
38816;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
38817;;;;;_;;;;;;;;;;;;;;
38818;</speech>;;;;_;;;;;;;;;;;;;;
38819;;;;;_;;;;;;;;;;;;;;
38820;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38821;;Рожа;рожа;S;f,inan=nom,sg;;;   Рожа .  ;а;ж;о;Р;;;;рожа;S;_;а
38822;;.;.;PUNCT;_;;;;;;;;;;;.;PUNCT;_;
38823;;;;;_;;;;;;;;;;;;;;
38824;</speech>;;;;_;;;;;;;;;;;;;;
38825;;;;;_;;;;;;;;;;;;;;
38826;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38827;"<distinct form=""Всё-тки""></distinct>";;;;_;;;;;;;;;;;;;;
38828;;все-таки;все-таки;PART;_;;;Все -  все-таки рожа ,  да;и;к;а;т;-;е;;все-таки;PART;_;и
38829;;рожа;рожа;S;f,inan=nom,sg;;;-  все-таки рожа ,  да ? ;а;ж;о;р;;;;рожа;S;_;а
38830;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38831;;да;да;PART;_;;;все-таки рожа ,  да ?   ;а;д;;;;;;да;PART;_;а
38832;;? ;? ;PUNCT;_;;;;;;;;;;;? ;PUNCT;_;
38833;;;;;;;;;;;;;;;;;;;
38834;# sent_id = 10;;;;_;;;;;;;;;;;;;;
38835;;Как;как;ADVPRO;_;;;?    Как у собаки ?;к;а;К;;;;;как;ADVPRO;_;к
38836;;у;у;PR;_;;;  Как у собаки ? ;у;;;;;;;у;PR;_;у
38837;;собаки;собака;S;f,anim=gen,sg;;; Как у собаки ?  ;и;к;а;б;о;с;;собака;S;_;а
38838;;?;?;PUNCT;_;;;;;;;;;;;?;PUNCT;_;
38839;;;;;_;;;;;;;;;;;;;;
38840;https://www.youtube.com/watch?v=pZ7Gl1mpqKI&feature=youtu.be&t=10m54s;;;;_;;;;;;;;;;;;;;
38841;;;;;_;;;;;;;;;;;;;;
38842;</speech>;;;;_;;;;;;;;;;;;;;
38843;;;;;_;;;;;;;;;;;;;;
38844;"<speech role=""Валера"" gender=""муж"" profession=""фотограф"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""высшее"">";;;;_;;;;;;;;;;;;;;
38845;;Но;но;CONJ;_;;;   Но он какой-то полу;о;Н;;;;;;но;CONJ;_;о
38846;;он;он;SPRO;sg,3p,m=nom;;;  Но он какой-то полу ... ;н;о;;;;;;он;SPRO;_;н
38847;;какой-то;какой-то;APRO;nom,sg,m;;; Но он какой-то полу ...  полу;о;т;-;й;о;к;;какой-то;APRO;_;о
38848;;полу;полу;COM;_;;;Но он какой-то полу ...  полу ...;у;л;о;п;;;;пол;S;_;у
38849;;... ;... ;PUNCT;_;;;;;;;;;;;... ;PUNCT;_;
38850;;полу;полу;COM;_;;;какой-то полу ...  полу ...  ;у;л;о;п;;;;пол;S;_;у
38851;;...;...;PUNCT;_;;;;;;;;;;;...;PUNCT;_;
38852;;;;;_;;;;;;;;;;;;;;
38853;</speech>;;;;_;;;;;;;;;;;;;;
38854;;;;;_;;;;;;;;;;;;;;
38855;"<speech role=""Наташа"" gender=""жен"" profession=""парикмахер"" age=""28"" birthyear=""1989"" birthplace=""Владимир"" region=""Владимирская область"" education=""среднее"">";;;;_;;;;;;;;;;;;;;
38856;;Клювокрыл;клювокрыл;S;m,anim=nom,sg;;;   Клювокрыл какой-то ,  блин;л;ы;р;к;о;в;;клювокрыл;S;_;л
38857;;какой-то;какой-то;APRO;nom,sg,m;;;  Клювокрыл какой-то ,  блин . ;о;т;-;й;о;к;;какой-то;APRO;_;о
38858;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38859;;блин;блин;S;m,inan=nom,sg;;;Клювокрыл какой-то ,  блин .   ;н;и;л;б;;;;блин;S;_;н
38860;;. ;. ;PUNCT;_;;;;;;;;;;;. ;PUNCT;_;
38861;;;;;;;;;;;;;;;;;;;
38862;# sent_id = 11;;;;_;;;;;;;;;;;;;;
38863;;Вон;вон;PART;_;;;.    Вон ,  видите , ;н;о;В;;;;;вон;PART;_;н
38864;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38865;;видите;видеть;V;ipf,tran=praes,pl,indic,2p;;; Вон ,  видите ,  у него;е;т;и;д;и;в;;видеть;V;_;ь
38866;;, ;, ;PUNCT;_;;;;;;;;;;;, ;PUNCT;_;
38867;;у;у;PR;_;;;,  видите ,  у него лапы как;у;;;;;;;у;PR;_;у
38868;;него;он;SPRO;sg,3p,m=gen;;;видите ,  у него лапы как у;о;г;е;н;;;;он;SPRO;_;н
